indic_ur,cities\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
EC2021V,DE501C1	: 	: 	: 	15315 	15608 	15657 	15767 	15879 	8634 e	8583 	15337 	15292 	15072 	8654 e	: 	: 	9100 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE502C1	: 	: 	: 	14834 	14839 	14794 	14703 	14586 	8249 e	8122 	13314 	13145 	12939 	8004 e	: 	: 	8200 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE503C1	: 	: 	: 	7882 	7986 	8128 	8283 	8198 	4596 e	4599 	7987 	7951 	7929 	4658 e	: 	: 	4800 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE504C1	: 	: 	: 	14406 	14406 	14321 	14243 	14022 	7591 e	7465 	13031 	12697 	12363 	7265 e	: 	: 	7400 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE505C1	: 	: 	: 	11385 	11556 	11538 	11441 	11437 	6964 e	6966 	10483 	10379 	10138 	7220 e	: 	: 	7800 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE506C1	: 	: 	: 	9995 	10171 	10205 	10147 	10117 	6104 e	6027 	6025 	9096 	5886 	5902 e	: 	: 	6200 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE507C1	: 	: 	: 	12779 	12779 	12818 	12868 	12696 	6829 e	6721 	12283 	12169 	11922 	6761 e	: 	: 	7000 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE508C1	: 	: 	: 	10197 	10436 	10522 	10476 	10540 	5597 e	5580 	10115 	10105 	9864 	5688 e	: 	: 	6000 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE509C1	: 	: 	: 	7315 	7422 	7520 	7601 	7663 	4187 e	4130 	7431 	7273 	7130 	4118 e	: 	: 	4300 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE510C1	: 	: 	: 	8860 	8895 	8947 	8924 	8917 	5238 e	5195 	8461 	8419 	8397 	5191 e	: 	: 	5400 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE511C1	: 	: 	: 	7133 	7229 	7334 	7425 	7377 	4126 e	4139 	7119 	7033 	6997 	4234 e	: 	: 	4500 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE513C1	: 	: 	: 	9182 	9267 	9355 	9274 	9700 	5494 e	5481 	5463 	8629 	8511 	5457 e	: 	: 	5600 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE514C1	: 	: 	: 	5871 	5911 	5969 	5989 	5982 	3422 e	3415 	5731 	5663 	5548 	3429 e	: 	: 	3500 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE515C1	: 	: 	: 	4670 	4726 	4833 	4843 	4818 	2732 e	2727 	4711 	4687 	4550 	2706 e	: 	: 	2800 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE516C1	: 	: 	: 	7758 	7909 	7909 	7906 	7944 	4017 e	4066 	7856 	7793 	7702 	4172 e	: 	: 	4500 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE517C1	: 	: 	: 	7631 	7689 	7707 	7539 	7559 	4438 e	4380 	4322 	6852 	4276 	4343 e	: 	: 	4500 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE518C1	: 	: 	: 	5740 	5842 	6014 	6143 	6034 	3397 e	3354 	3314 	5918 	5725 	3253 e	: 	: 	3300 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE519C1	: 	: 	: 	5847 	5966 	6007 	5899 	5930 	3001 e	3019 	5605 	5529 	5465 	3039 e	: 	: 	3200 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE520C1	: 	: 	: 	7619 	7758 	7773 	7658 	7654 	4262 e	4220 	4190 	7053 	4049 	4043 e	: 	: 	4200 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE521C1	: 	: 	: 	: 	: 	: 	: 	: 	3949 e	3945 	7164 	7071 	7016 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE522C1	: 	: 	: 	7743 	7713 	7667 	7621 	7621 	4268 e	4233 	7143 	7036 	6926 	4184 e	: 	: 	4300 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE523C1	: 	: 	: 	: 	: 	: 	: 	: 	3538 e	3507 	5915 	5781 	5674 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE524C1	: 	: 	: 	7240 	7378 	7256 	7306 	7188 	4326 e	4335 	4293 	7128 	6982 	4317 e	: 	: 	4400 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE525C1	: 	: 	: 	: 	: 	: 	: 	: 	2486 e	2485 	4306 	4306 	4233 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE526C1	: 	: 	: 	3270 	3339 	3367 	3330 	3335 	2192 e	2178 	2133 	2928 	2126 	2111 e	: 	: 	2100 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE527C1	: 	: 	: 	4150 	4086 	4188 	4092 	4290 	2678 e	2652 	4294 	4273 	4220 	2690 e	: 	: 	2800 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE528C1	: 	: 	: 	4095 	4171 	4218 	4267 	4275 	2205 e	2184 	4079 	4072 	3993 	2179 e	: 	: 	2300 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE529C1	: 	: 	: 	6337 	6335 	6384 	6279 	6224 	3629 e	3630 	5579 	5513 	5397 	3528 e	: 	: 	3700 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE530C1	: 	: 	: 	4884 	5015 	5110 	5130 	5195 	2907 e	2923 	5122 	5063 	4991 	3016 e	: 	: 	3200 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE531C1	: 	: 	: 	6079 	6122 	6155 	6096 	6102 	3059 e	3051 	2960 	5701 	5652 	2927 e	: 	: 	3000 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE532C1	: 	: 	: 	6560 	6476 	6478 	6513 	6534 	3642 e	3626 	5722 	5640 	5534 	3575 e	: 	: 	3700 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE533C1	: 	: 	: 	6045 	6084 	6010 	6007 	6067 	3298 e	3338 	5896 	5780 	5802 	3361 e	: 	: 	3500 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE534C1	: 	: 	: 	5657 	5861 	5695 	5654 	5596 	3042 e	3011 	2947 	5332 	5182 	2823 e	: 	: 	2800 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE535C1	: 	: 	: 	4320 	4387 	4429 	4431 	4428 	2854 e	2879 	3598 	3502 	3495 	3004 e	: 	: 	3200 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE536C1	: 	: 	: 	2702 	2753 	2804 	2814 	2858 	1852 e	1837 	1842 	2587 	1885 	1938 e	: 	: 	1900 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE537C1	: 	: 	: 	: 	: 	: 	: 	: 	2957 e	2917 	5056 	5039 	4975 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE538C1	: 	: 	: 	5791 	5904 	5868 	5799 	5767 	2950 e	2942 	2928 	5700 	5610 	2936 e	: 	: 	3000 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE539C1	: 	: 	: 	4463 	4522 	4491 	4514 	4512 	2962 e	2962 	4544 	4100 	4017 	3006 e	: 	: 	3000 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE540C1	: 	: 	: 	: 	: 	: 	: 	: 	2814 e	2838 	4544 	4536 	4407 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE541C1	: 	: 	: 	: 	: 	: 	: 	: 	2894 e	2809 	6001 	5930 	5769 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE542C1	: 	: 	: 	: 	: 	: 	: 	: 	2697 e	2665 	2653 	3935 	2631 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE543C1	: 	: 	: 	: 	: 	: 	: 	: 	2107 e	2162 	3867 	3807 	3739 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE544C1	: 	: 	: 	: 	: 	: 	: 	: 	2721 e	2730 	3733 	3687 	3623 	2880 e	: 	: 	3100 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE545C1	: 	: 	: 	5110 	5209 	5152 	5149 	5164 	2816 e	2848 	2820 	5119 	5013 	2720 e	: 	: 	2700 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE546C1	: 	: 	: 	14826 	14869 	14877 	14867 	14945 	7789 e	7828 	14862 	14785 	14650 	8187 e	: 	: 	8697 e	: 	: 	: 	: 	9369 e	: 	: 	: 	: 	9400 e
EC2021V,DE547C1	: 	: 	: 	4255 	4317 	4281 	4256 	4207 	2706 e	2712 	3279 	3075 	3065 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29712 	: 	: 	309813 	302120 	292432 	289515 	: 	: 	: 	: 	: 	: 
EC2021V,DK001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4275 	: 	: 	36864 	: 	: 	: 	26347 	: 	: 	: 	25920 	: 
EC2021V,DK002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1566 	: 	: 	15931 	: 	: 	: 	13227 	: 	: 	: 	13496 	: 
EC2021V,DK003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	807 	: 	: 	8410 	: 	: 	: 	7323 	: 	: 	: 	7567 	: 
EC2021V,DK004C2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	824 	: 	: 	8051 	: 	: 	: 	7168 	: 	: 	: 	7624 	: 
EC2021V,EE	: 	142676 	140085 	: 	: 	: 	126872 dr	: 	: 	59219 	: 	: 	: 	41818 	: 	36795 	35742 	34809 	39263 	32084 	36564 	29343 	25941 	21110 	: 	: 	: 
EC2021V,EE001C1	: 	55939 	54516 	: 	: 	: 	48035 dr	: 	: 	28960 	: 	: 	: 	21563 	: 	: 	20891 	: 	: 	: 	: 	14032 	: 	: 	: 	: 	: 
EC2021V,EE002C1	: 	10777 	10592 	: 	: 	: 	9851 dr	: 	: 	4817 	: 	: 	: 	3404 	: 	: 	3283 	: 	: 	: 	: 	2528 	: 	: 	: 	: 	: 
EC2021V,EE003C1	: 	3068 	3049 	: 	: 	: 	2858 dr	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL	: 	: 	: 	: 	: 	: 	: 	967542 	967601 	967856 	949107 	927870 	898204 	1735047 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL001C1	: 	: 	: 	: 	: 	: 	: 	90381 	79852 	81346 	81908 	81668 	80718 	224261 	: 	: 	609500 	75866 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL001K1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109582 	108851 	107080 	276293 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL002C1	: 	: 	: 	: 	: 	: 	: 	44211 	41777 	42397 	42580 	42181 	42988 	99738 	: 	: 	88682 	31869 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL003C1	: 	: 	: 	: 	: 	: 	: 	14951 	14138 	13839 	14708 	14833 	14674 	28620 	: 	: 	22692 	10072 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL004C1	: 	: 	: 	: 	: 	: 	: 	15312 	15385 	15875 	15476 	15471 	14995 	28842 	: 	: 	18300 	8567 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL005C1	: 	: 	: 	: 	: 	: 	: 	12452 	12522 	12221 	12259 	11911 	11356 	22280 	: 	: 	20323 	9078 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL006C1	: 	: 	: 	: 	: 	: 	: 	8035 	8020 	7966 	8191 	7971 	7956 	16116 	: 	: 	19093 	5316 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL007C1	: 	: 	: 	: 	: 	: 	: 	8029 	8143 	8235 	8388 	7917 	8014 	15494 	: 	: 	9306 	4669 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL008C1	: 	: 	: 	: 	: 	: 	: 	5806 	5779 	5788 	5810 	5731 	5658 	11143 	: 	: 	8590 	4020 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,EL009C1	: 	: 	: 	: 	: 	: 	: 	5944 	6218 	6195 	6066 	5817 	5656 	10921 	: 	: 	19853 	3376 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,ES	: 	3721669 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FI	: 	356221 p	360051 	: 	: 	: 	: 	: 	: 	320952 	: 	: 	: 	232305 	: 	: 	: 	288805 	287058 	285734 	277612 	: 	: 	: 	: 	: 	: 
EC2021V,FI001C2	: 	50809 p	50330 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33463 	: 	: 	: 	32650 	: 	: 	: 	27866 	: 	: 	: 	: 	28327 
EC2021V,FI001K2	: 	73963 p	73112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51045 	: 	: 	49219 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FI002C1	: 	12056 p	12202 	: 	: 	: 	: 	: 	: 	10920 	: 	: 	: 	9959 	: 	: 	: 	9581 	: 	: 	: 	8773 	: 	: 	: 	: 	9043 
EC2021V,FI003C1	: 	9778 p	9767 	: 	: 	: 	: 	: 	: 	9012 	: 	: 	: 	8687 	: 	: 	: 	8439 	: 	: 	: 	7436 	: 	: 	: 	: 	7711 
EC2021V,FI004C3	: 	8474 p	8476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5084 	: 	: 	: 	4659 	: 	: 	: 	3873 	: 	: 	: 	: 	4408 
EC2021V,FI005C1	: 	13404 p	13213 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FI006C1	: 	9130 p	8965 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FI007C2	: 	5856 p	5063 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FI008C3	: 	5754 p	5810 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FI009C1	: 	6509 p	6561 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR	: 	4350300 	4226488 	3931559 	3727426 	3589055 	3511511 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2354196 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR001C1	: 	922691 	417223 	390480 	369908 	352286 	340203 	: 	: 	: 	: 	: 	: 	256538 	: 	: 	: 	234367 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR001K1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	409790 	397789 	392377 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR003C2	: 	83594 	99162 	90707 	86360 	82737 	79861 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR004C2	: 	43654 	51584 	47412 	44923 	43547 	42645 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR006C2	: 	27137 	31867 	29723 	27479 	26425 	25785 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR007C1	: 	51433 	55610 	50854 	46895 	45039 	43490 	: 	: 	: 	: 	: 	: 	30804 	: 	: 	: 	29392 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR008C1	: 	29968 	38565 	35076 	32746 	31181 	30171 	: 	: 	: 	: 	: 	: 	20921 	: 	: 	: 	19230 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR009C1	: 	55695 	64245 	59644 	55378 	53240 	52214 	: 	: 	: 	: 	: 	: 	34180 	: 	: 	: 	32561 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR010C1	: 	27055 	39092 	35597 	32529 	32074 	30611 	: 	: 	: 	: 	: 	: 	20236 	: 	: 	: 	20517 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR011C1	: 	12001 	20869 	19262 	18743 	18388 	18014 	: 	: 	: 	: 	: 	: 	14196 	: 	: 	: 	13812 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR012C1	: 	7972 	9137 	8551 	8153 	7920 	7898 	: 	: 	: 	: 	: 	: 	6336 	: 	: 	: 	6282 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR013C2	: 	12677 	23519 	21766 	20273 	19510 	18957 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR014C2	: 	6421 	7800 	7257 	6811 	6635 	6581 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR016C1	: 	11826 	13811 	12979 	12312 	12140 	11829 	: 	: 	: 	: 	: 	: 	8770 	: 	: 	: 	8397 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR017C2	: 	10539 	12884 	12250 	11517 	11182 	10880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR018C1	: 	10947 	10837 	10106 	9533 	9312 	9181 	: 	: 	: 	: 	: 	: 	6986 	: 	: 	: 	6703 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR019C1	: 	10724 	14237 	13122 	12578 	12086 	11747 	: 	: 	: 	: 	: 	: 	8145 	: 	: 	: 	7918 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR020C2	: 	11692 	14032 	13095 	12542 	12010 	11785 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR021C2	: 	4845 	6940 	6515 	5976 	5856 	5681 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR022C2	: 	11979 	16091 	15024 	14246 	13673 	13535 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR023C2	: 	8885 	12797 	11920 	11226 	11001 	10818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR024C2	: 	7492 	9423 	8983 	8557 	8467 	8312 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR025C1	: 	7149 	10360 	9558 	9136 	8768 	8615 	: 	: 	: 	: 	: 	: 	6136 	: 	: 	: 	5784 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR026C2	: 	20370 	26176 	24086 	23016 	22271 	21933 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR027C1	: 	: 	7443 	6922 	6553 	6178 	6037 	: 	: 	: 	: 	: 	: 	4087 	: 	: 	: 	3791 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR028C1	: 	10945 	13460 	12948 	12390 	12090 	11949 	: 	: 	: 	: 	: 	: 	8805 	: 	: 	: 	7591 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR030C1	: 	12625 	18396 	18159 	17520 	17506 	18130 	: 	: 	: 	: 	: 	: 	12903 	: 	: 	: 	11638 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR032C2	: 	24636 	31744 	29340 	28376 	27497 	27064 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR034C2	: 	5148 	7781 	7251 	6865 	6630 	6580 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR035C2	: 	13291 	14876 	13677 	13119 	12719 	12533 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR036C2	: 	9364 	13878 	12829 	12166 	11794 	11595 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR037C1	: 	6361 	8913 	8391 	7900 	7767 	7709 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5783 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR038C2	: 	7783 	8964 	8349 	7954 	7787 	7814 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR039C2	: 	10227 	15219 	14046 	13510 	13028 	12879 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR040C2	: 	10005 	13621 	12676 	11718 	11396 	11170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR042C1	: 	5153 	6625 	6266 	6009 	5943 	5943 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4655 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR043C2	: 	11518 	19520 	18046 	16936 	16664 	16657 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR044C2	: 	11533 	16979 	15872 	15038 	14802 	14557 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR045C2	: 	7476 	9152 	8557 	8107 	8025 	7950 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR046C2	: 	11687 	12486 	11625 	10808 	10424 	10286 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR047C2	: 	3599 	4703 	4412 	4219 	4006 	3985 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR048C1	: 	10718 	12334 	11445 	10963 	10615 	10307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6915 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR049C2	: 	4941 	10314 	9761 	9267 	9135 	9027 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR050C2	: 	: 	4699 	4324 	4106 	3978 	4013 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR051C2	: 	5470 	6530 	6114 	5815 	5658 	5599 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR052C2	: 	3679 	6240 	5791 	5593 	5540 	5521 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR053C1	: 	7237 	11347 	10479 	9834 	9568 	9412 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5796 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR056C1	: 	: 	6083 	5742 	5353 	5267 	5384 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3761 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR057C2	: 	3392 	5024 	4819 	4648 	4630 	4602 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR058C2	: 	5613 	8194 	7582 	7292 	6971 	6924 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR059C2	: 	: 	5579 	5244 	5084 	4958 	4818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR060C2	: 	4129 	5617 	5363 	5041 	4875 	4836 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR061C2	: 	: 	5288 	4980 	4711 	4593 	4577 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR062C1	: 	2844 	3753 	3601 	3419 	3425 	3377 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2414 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR063C2	: 	6664 	9664 	8870 	8301 	8057 	7897 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR064C2	: 	3687 	4515 	4231 	3989 	3875 	3765 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR065C2	: 	3476 	4778 	4515 	4444 	4364 	4332 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
